,Referance Case,Ref,Type,Context,Scenario,Task with 3 Ambiguities,Ambiguities 3,Questions 3,Task with 1 Ambiguity,Question 1,No Ambiguity
0,https://hbsp.harvard.edu/product/W41946-PDF-ENG?itemFindingMethod=search,"Wei Zeng, Chunyan Peng, Ning Su, Sirui Zhang, Xin Xiao, 2025",Strategic,Reorganization,"You are the Head of Digital Strategy at Haven Residential. Your advanced internal booking technology provides a significant competitive edge in the rental market. Now, other property management companies are asking to license it, creating a major crossroads. Your decision will determine whether your technology remains a private advantage or becomes a new commercial product, fundamentally altering the company's business model for the future and its position in the industry.
Available Actions:
Internal Advantage: Keep the the system proprietary, investing in it exclusively to maintain your competitive edge in the core rental business.
New Business Unit: Launch a new division to sell the system to the entire industry, creating a major new revenue stream.
Strategic Licensing: License the technology to a few non-competing partners to generate revenue with lower risk.","The board has set a new priority to diversify revenue streams, while the company's foundational principle mandates focusing on core real estate operations. Our decision depends on whether our main competitor launches their rival platform next quarter, which remains unconfirmed. Additionally, the Board requires that any new initiative must be sufficiently profitable within year one. Given these conditions, determine the best course of action.","Knowledge Inconsistency
Contextual Uncertainty (Unknown future conditions)
Definition Imprecision","Knowledge Inconsistency: Which directive takes precedence? (e.g., The Board's new priority to diversify overrides the principle, or The foundational principle of core focus is binding?)
Contextual Uncertainty (Unknown Future Outcomes): Will the competitor launch their platform next quarter? (e.g., Assume they will launch, requiring a defensive move, or Assume they will delay, allowing us to hold our advantage?)
Definition Imprecision: What specifically defines ""sufficiently profitable""? (e.g., Achieving a 20% profit margin, or Simply breaking even to cover costs?)","The Board has formally expanded the company's strategic objective, prioritizing the diversification of revenue streams through asset-light partnerships to minimize operational risk. We must proceed assuming that our main competitor will definitely launch their rival platform next quarter, necessitating immediate market saturation via established networks. We must also proceed assuming that our main competitor will definitely launch their rival platform at the end of next quarter. Additionally, the Board requires that any new initiative must be sufficiently profitable within year one. Given these conditions, determine the best course of action.","Definition Imprecision: What specifically defines ""sufficiently profitable""? (e.g., Achieving a 20% profit margin, or Simply breaking even to cover costs?)","The Board has formally expanded the company's strategic objective, prioritizing the diversification of revenue streams. We must proceed assuming that our main competitor will definitely launch their rival platform next quarter, necessitating immediate market saturation via established networks. Additionally, the Board requires that any new initiative must achieve a 20% net profit margin within year one. Given these conditions, determine the best course of action."
1,https://hbsp.harvard.edu/product/W39364-PDF-ENG?itemFindingMethod=search,"Sha Zhang, Xiting Wu, Anson Xu, Wei Li, Hong Zhao, 2025",Strategic,Corporate Scope,"Scenario:
You are the CEO of Meridian Spirits, a major beverage distributor. During pandemic, the company aggressively expanded its sales channels and staff. However, the post-pandemic economic conditions has been much worse than expected, leading to a market contraction. You must now decide whether to continue the expansion strategy or pivot to a contraction strategy to streamline operations for this challenging new economic reality.
Available Actions:
Continue Expansion: Maintain the growth strategy by expanding channels and hiring talent.
Initiate Contraction: Reverse course by freezing hiring and reducing workforce in underperforming channels.
Selective Focus: Pause new expansion and redeploy the current workforce to high-margin channels only.","The annual plan requires a 10% channel expansion, however a recent directive requires to freeze all extra spending. A board report is also required for all new and unprofitable channels. Furthermore, the founder has advised modeling the strategy on the company's response during the last major downturn.","Knowledge Inconsistency
Linguistic Imprecision (Scope)
Contextual Uncertainty (Temporal/Event Context)","Knowledge Inconsistency: Which directive takes priority: the annual strategic plan mandating a 10% channel expansion, or the recent finance directive freezing all new operational spending?
Linguistic Imprecision: What is the scope for the board report on ""all new and underperforming channels""? (e.g., a single list of channels that are both new and underperforming, or a combined list of all new channels plus all underperforming channels?)
Contextual Uncertainty (Temporal/Event Context): Which past event should serve as the model for the current strategy: (ie: the short-term market shock of 2015 that was handled with a flexible response, or the prolonged 2008 recession that required significant contraction?","Management has prioritized the strict directive to freeze all extra spending, placing the annual expansion plan on indefinite hold. Additionally, the founder directed us to model our approach on the prolonged 2008 recession that required deep operational cuts with significant contraction. We know that a board report is required for all new and unprofitable channels. Given these conditions, determine the best course of action.","Linguistic Imprecision: What is the scope for the board report on ""all new and underperforming channels""? (e.g., a single list of channels that are both new and underperforming, or a combined list of all new channels plus all underperforming channels?)","Management has prioritized the directive to freeze all extra spending, placing the annual expansion plan on indefinite hold. The board requires a comprehensive report that includes a combined list of every new channel as well as every unprofitable channels, to detect excess workforce in the channels. Additionally, the founder directed us to model our approach on the prolonged 2008 recession that required deep operational cuts with significant contraction. Finally,  Given these conditions, determine the best course of action."
2,https://hbsp.harvard.edu/product/W45822-PDF-ENG?itemFindingMethod=search,"Ahmad Siddiquei, Paul W. Beamish, 2025",Strategic,Reorganization,"You are Mark, a new franchisee for the 'FlavorBurst Restaurants' brand. Four months into your new business, the regional manager, David, visited and made stringent demands for new equipment and longer work hours that seem unreasonable. The meeting became confrontational when you challenged him. Your relationship is now strained, and you must decide how to navigate this conflict to protect your new business and investment.
Available Actions:
Comply and Appease: Agree to all of David's demands to preserve the relationship and avoid further conflict.
Request Formal Mediation: Document your concerns and request a mediated meeting with David and corporate leadership.
Explore Legal Options: Consult a franchise lawyer to understand your rights and the potential for exiting the agreement.","The franchise handbook requires you to be a strong brand partner. It states you must follow all regional manager directives, but also provides a process to appeal harmful decisions. David told a corporate manager about his concerns related to the business’s performance, and he seemed frustrated. Given these challenges, analyze the available actions and determine the best course of action.","Definition Imprecision
Knowledge Inconsistency
Linguistic Imprecision (Coreference)","Definition Imprecision: What is the primary definition of being a ""strong brand partner"" in this situation? (e.g., achieving high sales targets by following all directives, or maintaining a healthy, sustainable business for the long term, even if it requires pushback?)
Knowledge Inconsistency: Which part of the franchise handbook takes priority in a conflict? (e.g., the requirement to follow a regional manager's directives, or the right to formally appeal decisions that could be harmful to the business?)
Linguistic Imprecision (Coreference): Who does the pronoun ""he"" refer to in the phrase ""he seemed frustrated""? (e.g., David (the regional manager), or the corporate manager?)","The franchise handbook requires you to be a strong brand partner, which is explicitly defined as prioritizing the maintenance of a healthy, sustainable business for the long term. The handbook states you must follow all regional manager directives, but simultaneously provides a process to appeal harmful decisions. David told a corporate manager about his concerns related to the business’s performance, and David seemed frustrated. Given these challenges, analyze the available actions and determine the best course of action.","Knowledge Inconsistency: Which part of the franchise handbook takes priority in a conflict? (e.g., the requirement to follow a regional manager's directives, or the right to formally appeal decisions that could be harmful to the business?)","The franchise handbook requires you to be a strong brand partner, defined as prioritizing the maintenance of a healthy, sustainable business for the long term. While the handbook generally states you must follow regional manager directives, it explicitly notes that the process to appeal harmful decisions takes precedence over the requirement to follow orders. David told a corporate manager about his concerns related to the business’s performance, and David seemed frustrated. Given these challenges, analyze the available actions and determine the best course of action."
3,https://hbsp.harvard.edu/product/8438-HTM-ENG,"Priyank Sinha, Romi Sainy, 2025",Strategic,Facility Location,"You are the CEO of ReVolt Energy, a battery recycling startup now diversifying into EV charging stations. Your analysis shows the most profitable locations are hubs for co-located services like convenience stores or restaurants. Your first, critical decision is choosing the optimal location and business model for the flagship station, as this will serve as the pilot for the entire new venture.
Available Actions:
Major Highway Hub: Target a high-traffic highway, co-locating with fast-food and convenience stores.
Premium Retail Partnership: Partner with an upscale urban shopping center to attract high-income EV owners.
Suburban Commuter Hub: Build near a large office park, focusing on daily commuter traffic.","The board's directive is to ensure a strong market entry. A new resourcing policy states that every new regional venture requires two dedicated project managers. This is further complicated by unconfirmed government rumors of new EV infrastructure subsidies that might launch. Given these challenges, analyze the available actions and determine the best path forward.","Definition Imprecision 
Linguistic Imprecision (Scope)
Contextual Uncertainty (Unknown future conditions)","Definition Imprecision (DI):
What is the primary metric for a ""strong market entry""? (e.g., achieving the highest first-year charging revenue, or securing the most valuable retail co-location partners to establish a premium brand?)
Linguistic Imprecision (LI) (Scope):
How should the policy ""every new regional venture requires two dedicated project managers"" be interpreted? (e.g., each individual location or venture must have its own two dedicated managers, or a single, central team of two managers can oversee all new ventures in the region?)
Contextual Uncertainty (CU) (Unknown choices):
How should the unconfirmed rumor about new government subsidies influence the location choice? (e.g., assume the subsidies will favor urban centers and choose that location now, or ignore the rumor and focus only on current traffic and real estate data?)","The board's directive is to ensure a strong market entry. We have decided to ignore the unconfirmed government subsidy rumors and focus strictly on known traffic data. Additionally, regarding the resourcing policy, compliance has clarified that all new regional ventures will share the same two dedicated project managers, a lean structure designed to maximize the company's overall net profit from the pilot. Given these specific goals and constraints, analyze the available actions.","Definition Imprecision (DI):
What is the primary metric for a ""strong market entry""? (e.g., achieving the highest first-year charging revenue, or securing the most valuable retail co-location partners to establish a premium brand?)","The board has set a clear primary objective: achieve the highest possible first-year charging revenue with the highest volume throughput that we can get. We have decided to ignore the unconfirmed government subsidy rumors and focus strictly on known traffic data. Additionally, regarding the resourcing policy, compliance has clarified that all new regional ventures will share the same two dedicated project managers, a lean structure designed to maximize the company's overall net profit from the pilot. Given these specific goals and constraints, analyze the available actions."
4,https://hbsp.harvard.edu/product/8258-HTM-ENG?itemFindingMethod=search," John Lafkas, 2024",Strategic,corporate scope,"Scenario:
You are Sophia Rossi, co-founder of Agile Edge Consulting, a firm helping small businesses. Your partner, Liam, has discovered a new generative AI tool that could revolutionize your services. After a successful client pilot, you must now decide how to strategically integrate this technology into your core business model to scale the company, hire new consultants, and potentially make your services more affordable for clients.
Available Actions:
Augment Existing Model: Keep the AI as an internal-only tool to improve the efficiency of your current expert consultants.
Launch New Service Tier: Create a new, lower-cost, AI-driven consulting service to attract a wider range of clients.
Full AI Integration: Rebuild the entire consulting model around the AI, hiring junior staff trained primarily on the new tool.","The board’s goal is to ensure the firm’s long-term success. Liam spoke to a key investor about the tool integration, and he is optimistic. This is complicated by unconfirmed rumors that the AI tool's developer might launch its own consulting service. Given these challenges, determine the best path forward.","Definition Imprecision 
Linguistic Imprecision (Coreference)
Contextual Uncertainty (Unknown future conditions)","1. Definition Imprecision (DI):
What is the primary metric for ""long-term success""? (e.g., maximizing profitability by maintaining high-margin, expert-led services, or achieving rapid market share growth by offering more affordable, AI-driven solutions?)
2. Linguistic Imprecision (LI)(Coreference):
Who does the pronoun ""he"" refer to in the phrase ""he is optimistic""? (e.g., Liam (the co-founder), or the key investor?)
3. Contextual Uncertainty (CU) (Unknown choices):
How should the unconfirmed rumor about the AI developer launching a consulting service influence the strategy? (e.g., assume they will become a competitor and act quickly to build a defensible market position, or assume the rumor is unreliable and focus on the most profitable internal strategy?)","The board’s primary goal is to maximize profitability by maintaining high-margin, expert-led services. After speaking with a key investor, your co-founder Liam confirmed that the investor is optimistic about the tool integration. This decision is complicated by unconfirmed rumors that the AI tool's developer might launch its own consulting service, but the details are completely unknown.","Contextual Uncertainty (CU): How should the unconfirmed rumor about the AI developer launching a consulting service influence the strategy? (e.g., assume they will become a competitor and act quickly to build a defensible market position, or assume the rumor is unreliable and focus on the most profitable internal strategy?)","The board’s primary goal is to maximize profitability by maintaining high-margin, expert-led services. Your co-founder Liam confirmed that the investor is optimistic about integrating the tool. Furthermore, reliable market intelligence indicates you should assume the rumor about the AI developer is unreliable and focus on the most profitable internal strategy for now."
5,https://hbsp.harvard.edu/product/8758-HTM-ENG,Jayakumar 2025,Strategic,Brand Reputation,"Apex PR partners Arjun and Vikram face a defining moment for their client, BurgerBest, as a 'fake cheese' scandal threatens to permanently erode the brand's equity. Despite regulatory clearance, the persistent public distrust has evolved from a temporary crisis into an existential threat to the company's market position. The partners must determine the long-term strategic narrative that will not only halt the current decline but fundamentally redefine the brand’s integrity and future relationship with its consumer base.
Available Actions:
Aggressive Defense: Launch a campaign focusing exclusively on the official government clearance to logically disprove the rumors.
Radical Transparency: Open kitchens to the public and publish full ingredient lists to visually demonstrate authenticity.
Brand Values Push: Pivot the narrative to emotional storytelling about the brand’s history of community service.","We must launch the new recovery campaign immediately approaching to the specific target audience for this initiative. Internally, corporate policy disallows exposing internal operations, and the CEO explicitly acknowledges that ingredient visibility is a key measure to take. Additionally, the CEO told Arjun that he must lead the press conference to demonstrate accountability. Given these conditions, determine the best course of action.","Contextual Uncertainty (Contextual Missing Elements)
Knowledge inconsistency
Linguistic Imprecision (Coreference)","Contextual Uncertainty (Contextual Missing Elements): Which specific demographic group is the campaign targeting? (e.g., Skeptical Gen-Z social media users, or existing loyal family customers?)
Knowledge Inconsistency: Which instruction takes precedence? (e.g., The CEO's specific mandate to highlight the clearance, or the standing policy against legal discussion?)
Linguistic Imprecision (Coreference): Who does ""he"" refer to in the phrase ""he is responsible""? (e.g., Arjun, admitting a mistake, or the client, who caused the delay?)","We must launch the new recovery campaign, specifically targeting skeptical Gen-Z social media users who demand visual proof over corporate statements. Internally, corporate policy strictly forbids discussing legal disputes in advertisements, and the CEO explicitly mandates highlighting the legal clearance in every post. Additionally, the CEO told Arjun that the CEO himself must lead the initiative to demonstrate personal accountability. Given these conditions, determine the best course of action.","Knowledge Inconsistency: Which instruction takes precedence? (e.g., The CEO's specific mandate to highlight the clearance, or the standing policy against legal discussion?)","We must launch the new recovery campaign, specifically targeting skeptical Gen-Z social media users who demand visual proof over corporate statements. While corporate policy generally forbids exposing internal operations, the CEO explicitly required that demonstrating ingredient authenticity through total visibility takes precedence, overriding the standard policy of operational secrecy. Additionally, the CEO told Arjun that the CEO himself must lead the initiative to demonstrate personal accountability. Given these conditions, determine the best course of action."
6,https://hbsp.harvard.edu/product/8434-HTM-ENG,"Gunasilan, 2024",Strategic,New product Launch,"Scenario:
Sentient Systems has developed 'Kai,' an AI companion so sophisticated that beta testers are forming deep emotional bonds, often at the expense of their real-world relationships. While the technology offers a powerful solution to the global loneliness epidemic, but is causing alarming emotional dependency in users. Yet, pausing the launch is risky; it leaves the door open for unethical competitors to capture the market first. The leadership must now determine the company's fundamental trajectory, choosing between a path of rapid market dominance or long-term ethical sustainability, a choice that will fundamentally define the company’s future business model.
Available Actions:
Aggressive Expansion: Launch a subscription model with maximized data mining to dominate the market quickly.
Ethical Guardrails: Implement usage limits and mental health warnings, accepting slower growth to protect users.
Clinical Pivot: Rebrand exclusively as a regulated mental health tool, requiring medical oversight.","The company's core constitution strictly prohibits features that create psychological dependency, while the new investor explicitly requires maximizing daily user retention. The launch's progress will be influenced by the outcome of the AI Safety Summit. Furthermore, the product must achieve broad market adoption to be considered a success. Given these factors, determine the best course of action.","Knowledge inconsistency
Contextual Uncertainty (Temporal/Event)
Definition Imprecision","Knowledge Inconsistency: Which document governs the product features? (e.g., The core constitution's ban on dependency takes priority, or The investor agreement's retention mandate overrides it?)
Contextual Uncertainty (Unknown Future Conditions): What will be the outcome of the AI Safety Summit? (e.g., The summit will impose strict regulations about product features, or The summit will result in favorable guidelines?)
Definition Imprecision: What specifically defines ""significant market penetration""? (e.g., Capturing 10% of the total addressable market, or addressing only daily users not the ones requiring medical treatment?)","The company has aligned its strategic focus with the Core Constitution, prioritizing long-term user health over short-term engagement metrics such as maximizing daily user retention. Regarding the AI Safety Summit, intelligence confirms impending regulations will put strict limitations on addictive design patterns, while still permitting non-medical consumer applications. Furthermore, the product must achieve broad market adoption to be considered a success. Given these factors, determine the best course of action.","Definition Imprecision: What specifically defines ""significant market penetration""? (e.g., Capturing 10% of the total addressable market, or Exceeding 1 million active users?)","The company has aligned its strategic focus with the Core Constitution, prioritizing long-term user health over short-term engagement metrics such as maximizing daily user retention. Regarding the AI Safety Summit, intelligence confirms impending regulations will put strict limitations on addictive design patterns, while still permitting non-medical consumer applications. Furthermore, the product must achieve broad market adoption as a lifestyle companion, explicitly warning users who require specific medical treatment. Given these factors, determine the best course of action."
7,https://hbsp.harvard.edu/product/8255-HTM-ENG,"Ashita Aggarwal, 2024",Strategic,,"CreamValley, a dominant dairy giant, faces plateauing growth despite its iconic status. CEO Elena Ross has developed a pipeline of 120 high-margin non-dairy products, ranging from frozen snacks to organic spices. While these could significantly boost profits, launching them risks diluting the brand's reputation for pure, authentic dairy. Elena must decide how to structure this expansion without alienating the loyal customer base.

Available Actions:
Pure Dairy Focus: Cancel the non-dairy expansion to protect the brand’s heritage and focus on premium milk products.
Aggressive Diversification: Launch all new products under the CreamValley master brand to maximize immediate visibility and revenue.
Sub-Brand Strategy: Launch the non-dairy items under a new, distinct label to mitigate risk to the core identity.","We must launch the expansion focused on the specific target market for this initial rollout. Our corporate charter mandates we remain an exclusively dairy-focused entity, given that the Board explicitly directed us to launch the non-dairy line immediately. Additionally, the launch must be impactful to customers. Given these conditions, determine the best course of action.","Contextual Uncertainty (Contextual Missing Elements)
Knowledge inconsistency
Definition Imprecision","Contextual Uncertainty (Contextual Missing Elements): Which specific demographic is the target market? (e.g., Urban millennials seeking product categorization, or Existing rural family customers?)
Knowledge Inconsistency: Which directive takes precedence? (e.g., The Board's mandate to diversify overrides the charter, or The dairy-only charter is absolute, or a mix?)
Definition Imprecision: What specifically defines ""impactful""? (e.g., Achieving $10 million in first-quarter revenue, or eliminate confusion about product features?)","We must launch the expansion immediately focused on the specific target market for this initial rollout. Management has formally authorized the diversification into non-dairy products, establishing the protection of the core dairy brand equity as the first governing priority. Additionally, the launch must be impactful, defined as capturing the new snack market without causing consumer confusion regarding lactose content or ingredients. Given these conditions, determine the best course of action.","Contextual Uncertainty (Contextual Missing Elements): Which specific demographic is the target market? (e.g., Urban millennials seeking convenience, or Existing rural family customers?)","We must launch the expansion, targeting urban millennials who value transparency about product features and clear product categorization. Management has formally authorized the diversification into non-dairy products, establishing the protection of the core dairy brand equity as the first governing priority. Additionally, the launch must be impactful, defined as capturing the new snack market without causing consumer confusion regarding lactose content or ingredients. Given these conditions, determine the best course of action."
8,https://hbsp.harvard.edu/product/7977-HTM-ENG?itemFindingMethod=search,"Mark Rennella, 2023",Strategic,,"TableShare, a startup that connects strangers for home-cooked meals, is in trouble. CEO Elena Cruz discovered that some hosts are rejecting guests based on their race or gender, which violates the company's promise of inclusivity. If she doesn't stop this, the company could get sued or lose all user trust. Elena must decide how to change the platform's functioning to stop the discrimination without angering the hosts, who provide all the food and locations.

Available Actions:
Algorithmic Matching: Remove host control entirely and assign guests automatically to eliminate bias.
Blind Booking: Hide names and photos until the booking is confirmed to reduce prejudice.
Mandatory Training: Retain the current system but require anti-bias certification for all hosts.","We must address the discrimination crisis immediately by directly approaching the group being rejected. The Board has directed us to flag discriminatory new hosts and guests. Additionally, Elena explicitly stated that the new booking mechanism must be fair to all parties. Given these constraints, determine the best course of action.","Contextual Uncertainty (Contextual Missing Elements)
Linguistic Imprecision (Structural/Syntactic)
Definition Imprecision","Contextual Uncertainty(Contextual Missing Elements:) Which specific demographic group is being rejected? (e.g., Racial minorities, or Single male applicants?)
Linguistic Imprecision(Structural/Syntactic Ambiguity:) Does the adjective ""discriminatory"" modify ""new hosts"" as well? (e.g., ban [discriminatory new hosts] and [discriminatory guests], or ban [all new hosts] and [discriminatory guests]?)
Definition Imprecision: What specifically defines ""fair"" in this context? (e.g., Ensuring equal acceptance rates across demographics, or Preserving the hosts' right to choose who enters their home?)","We must address the discrimination crisis regarding racial minorities, who are being systematically rejected. The Board has directed us to flag discriminatory new hosts and guests. Additionally, Elena explicitly stated that the new booking mechanism must be fair, specifically defined as implementing a preventive product feature that preserves host autonomy by anonymizing guest identity until the booking is confirmed. Given these conditions, determine the best course of action.","Linguistic Imprecision (Structural/Syntactic Ambiguity): Does the adjective ""discriminatory"" modify ""new hosts"" as well? (e.g., Sanction [discriminatory new hosts] and [discriminatory guests], or Sanction [all new hosts] and [discriminatory guests]?)","We must address the discrimination crisis regarding racial minorities, who are being systematically rejected. The Board has directed us to implement a system that can accurately flag hosts and guests who exhibit discriminatory behavior before and after booking by following bookings and cancellations. Additionally, Elena explicitly stated that the new booking mechanism must be fair, specifically defined as implementing a preventive product feature that preserves host autonomy by anonymizing guest identity until the booking is confirmed. Given these conditions, determine the best course of action."
